title,city,price,year,engine_vol,transmission,body_style,drive_type,fuel
BYD Destroyer 05,Almaty,8400000,2025,1.5,automatic,седан,other,other
Volkswagen Tiguan,Almaty,20500000,2021,2.0,robot,кроссовер,other,petrol
Voyah Free,Almaty,15500000,2024,1.5,automatic,кроссовер,other,petrol
Land Rover Range Rover,Almaty,41000000,2017,5.0,automatic,внедорожник,other,petrol
RAM 1500,Almaty,51900000,2025,3.0,automatic,other,other,petrol
Honda HR-V,Almaty,12200000,2022,1.8,cvt,кроссовер,other,petrol
Mercedes-Benz S 600,Almaty,222000000,1993,6.0,automatic,седан,other,petrol
Mercedes-Benz SLC 300,Almaty,21800000,2019,2.0,automatic,other,other,petrol
Zeekr 001,Almaty,19500000,2023,0.0,automatic,лифтбек,other,other
Toyota Land Cruiser,Almaty,45000000,2022,3.5,automatic,внедорожник,other,petrol
Volkswagen Amarok,Almaty,10000000,2014,2.0,automatic,other,other,diesel
Toyota Land Cruiser Prado,Almaty,25500000,2013,4.0,automatic,внедорожник,other,petrol
Porsche Taycan,Almaty,38700000,2021,0.0,automatic,седан,other,other
Toyota Hilux,Almaty,25700000,2022,4.0,automatic,other,other,petrol
Changan X5 Plus,Almaty,8800000,2024,1.5,robot,кроссовер,other,petrol
Volkswagen Touareg,Almaty,4800000,2008,2.5,automatic,кроссовер,other,diesel
Hyundai Solaris,Almaty,5740000,2015,1.6,automatic,седан,other,petrol
Zeekr 001,Almaty,51900000,2024,0.0,automatic,лифтбек,other,other
Toyota Land Cruiser Prado,Almaty,38000000,2024,2.4,automatic,внедорожник,other,petrol
BYD Qin L DM-i,Almaty,10100000,2025,1.5,cvt,седан,other,other
Audi Q7,Almaty,5633000,2006,4.2,automatic,кроссовер,other,petrol
Audi A8,Almaty,34000000,2020,3.0,automatic,седан,other,petrol
Deepal S07,Almaty,13000000,2025,1.5,cvt,кроссовер,other,other
Toyota Prius,Almaty,8500000,2014,1.8,cvt,хэтчбек,other,other
Hyundai Tucson,Almaty,11000000,2020,2.0,automatic,кроссовер,other,petrol
ВАЗ (Lada) Granta 2190 Classic'24,Almaty,5890000,2025,1.6,manual,седан,other,petrol
GAC GS4 Max GB,Almaty,12490000,2025,1.5,robot,кроссовер,other,petrol
Changan CS55 Plus Tech,Almaty,11490000,2025,1.5,robot,кроссовер,other,petrol
Infiniti QX50 Sport,Almaty,30990000,2024,2.0,cvt,кроссовер,other,petrol
Chevrolet Cobalt,Almaty,6380000,2025,1.5,automatic,седан,other,petrol
Kia Soul,Almaty,10450000,2022,2.0,automatic,хэтчбек,other,petrol
Mercedes-Benz S 63 AMG,Almaty,145500000,2024,4.0,automatic,седан,other,other
Toyota Land Cruiser Prado,Almaty,23500000,2014,4.0,automatic,внедорожник,other,petrol
